batch,3lanahdw - Epoch-avg,1ife0qil - Epoch-avg,tfvtshog - Epoch-avg,433ue2xx - Epoch-avg,e0dedoks - Epoch-avg,2lfb1f90 - Epoch-avg,mdpd09s2 - Epoch-avg,3f1szh6n - Epoch-avg,2o0lr4zq - Epoch-avg,73as3he7 - Epoch-avg,3sjxadky - Epoch-avg,1ygq8soq - Epoch-avg,3gz7izya - Epoch-avg,1u3xq86f - Epoch-avg,9pdaam52 - Epoch-avg,1eu9086i - Epoch-avg,38qfqzgl - Epoch-avg,gisbw50a - Epoch-avg,1ueeneqe - Epoch-avg,2vzwcwtv - Epoch-avg,3olusoh7 - Epoch-avg,hcvf3a5h - Epoch-avg,l0xvi90b - Epoch-avg,2pzhu18n - Epoch-avg
26,-924.2658482,-785.9505596,-1509.466523,-688.7908799,-796.8491872,-974.4865574,-738.3571877,-963.2613015,-608.5928524,-975.0726068,-470.133864,-1141.860183,-859.5028454,-784.5866968,-920.9351371,-753.0424327,-993.1755004,-1000.802541,-830.1716972,-853.7697442,-1292.165281,-799.3042855,-1063.623181,-684.0945333
27,-740.4039771,-740.5446335,-1591.56119,-965.3569833,-852.9316255,-1168.655437,-722.340135,-928.1144517,-926.2849633,-837.2593522,-195.7020478,-803.4566248,-895.8819854,-1107.286931,-1257.72218,-682.4282035,-762.2504274,-1051.496914,-791.8653608,-966.6582485,-1010.807037,-1029.139881,-974.8087025,-718.7339693
28,-819.3713656,-923.9327989,-1462.294194,-639.3282491,-637.0300079,-851.6141174,-978.6793075,-912.9996659,-670.0285605,-748.1586754,-1065.800067,-727.9104873,-1080.554698,-1183.165461,-770.7719098,-676.8391396,-732.4157092,-1206.830333,-1193.576877,-618.1087851,-1068.032603,-1050.141194,-643.9868737,-860.0093213
29,-748.0741717,-445.1835382,-1434.777424,-839.1844399,-608.4311936,-532.2632062,-893.0153099,-875.2604821,-755.1217532,-737.6660686,-489.801985,-640.5874322,-1006.782784,-812.5073719,-1041.461689,-936.9597018,-638.35848,-606.8014491,-825.5077566,-523.5799054,-1057.864568,-711.4348538,-692.4645674,-843.4281208
30,-808.4941116,-599.6469839,-1411.40775,-967.9634944,-629.6403548,-1036.810836,-709.5331686,-1011.39405,-351.9182081,-772.7398133,-529.1820292,-788.7613554,-1011.456031,-900.6367054,-828.131357,-664.2322573,-699.2131786,-681.8452904,-1099.192545,-664.5685811,-1213.953075,-550.5149849,-773.5717338,-667.056431
31,-559.9240091,-836.2994576,-1491.317764,-1050.678947,-636.0562328,-1114.404857,-874.1158793,-1130.431962,-966.6861864,-1035.627,-328.1051317,-835.6124856,-956.6625782,-939.7873166,-1125.191203,-615.0755421,-929.7867934,-463.5838581,-697.2086885,-438.4016779,-849.886383,-653.8310647,-773.2132953,-1077.808249
32,-743.2741668,-680.0665846,-1426.700849,-1063.122415,-717.6473474,-894.0811867,-638.990714,-944.2784212,-517.4689782,-1050.351873,-556.170013,-1005.641874,-890.6450348,-794.8018322,-1091.108949,-818.7659046,-666.6551126,-718.8280662,-657.3770041,-728.8362747,-819.6498526,-600.3783324,-907.5000552,-695.6042512
33,-756.8987959,-696.4734095,-1489.855907,-1038.889716,-829.2248987,-1059.370854,-515.2515514,-743.8266637,-407.947453,-674.2388156,-490.2441932,-815.1322901,-1030.743706,-902.1453753,-1054.388176,-903.8870995,-682.5878178,-864.9071255,-803.9362206,-949.231342,-1143.893369,-993.0600077,-772.6412898,-795.6757323
34,-857.7862526,-651.9598741,-1542.565364,-979.8523891,-396.6628265,-739.6750086,-608.6464858,-775.2581665,-692.8905332,-988.6211941,-399.1660437,-820.4240979,-625.4793795,-865.1043879,-949.7274033,-1141.703016,-871.5062812,-1105.858209,-735.3464462,-899.0933474,-893.6553348,-1066.277259,-422.7215094,-992.5986172
35,-666.7581043,-649.2704747,-1468.007822,-827.307458,-291.1156312,-396.1992047,-545.7514671,-1282.793059,-433.048066,-302.8874735,-586.3401424,-1000.816681,-752.7107642,-919.5458638,-1363.718068,-838.8063455,-1005.766836,-1003.496611,-777.98428,-856.4116549,-1128.63892,-896.6572598,-731.8111064,-1035.370165
36,-838.6927341,-167.0199821,-1362.4618,-998.1280665,-782.3055969,-135.8892301,-537.9315287,-851.8276628,-594.3083052,-683.5485427,-523.3258529,-1161.886418,-762.2348741,-1107.056325,-884.9016686,-840.4992475,-615.8375396,-631.1156704,-739.4075054,-440.3792816,-1020.736228,-832.4495064,-504.2320072,-521.4207802
37,-781.30345,-130.7116964,-1478.839706,-807.0561185,-849.4017529,-1125.419664,-785.5113137,-705.1722375,-257.0266627,-403.5730027,-595.2587973,-1061.149362,-756.9069457,-867.8380212,-1020.295869,-1247.779787,-909.7495184,-683.8489791,-480.8663156,-903.2086885,-1092.591379,-584.3855788,-752.2726011,-613.4276502
38,-939.0765266,-271.7106534,-1481.426736,-520.9038478,-848.3551567,-826.2649218,-327.471382,-261.2671791,-670.1450973,-678.5224221,-561.0296331,-1075.024718,-790.0824258,-825.8656556,-1044.449156,-821.0101672,-860.4887538,-502.1162542,-403.834307,-656.9278827,-599.8706112,-657.3316963,-585.3488226,-681.9838261
39,-872.6163194,-285.9721965,-1395.095016,-1122.598536,-972.4226762,-612.4236066,-266.2959975,-641.8045143,-231.9080905,-466.1136198,-605.8263092,-995.9665024,-547.3048919,-763.9870816,-929.7392667,-862.6842737,-625.3166698,-541.6015757,-805.9714356,-615.4110685,-929.9108717,-890.5703752,-559.6151703,-660.3330797
40,-689.2556016,-611.6916061,-1403.277078,-393.6557042,-487.2398787,-264.8335693,-670.4310232,-629.1838961,-571.0753348,-597.3218035,-556.1342504,-1120.436614,-807.5432883,-827.5946332,-619.2323794,-943.5971218,-722.9652454,-916.8042209,-601.0074303,-662.9819489,-716.2373297,-848.8988135,-718.9854818,-1241.540423
41,-670.0421484,-987.0513234,-1260.673494,-396.6979651,-456.2815058,-436.8674427,-464.219174,-667.7461527,-633.5759661,-731.7107755,-980.6008143,-1047.676594,-620.186156,-222.3095205,-1062.694586,-965.6846895,-512.6401618,-289.1349078,-652.8421719,-802.5315449,-532.3219026,-1347.090186,-490.2788718,-979.1865714
42,-420.5183379,-330.0592171,-1471.834532,-567.6163388,-127.6483643,-508.4799861,-751.4830514,-622.7890284,-539.3495279,-437.9922773,-486.1210927,-1055.969091,-674.4333032,-412.968413,-764.806805,-684.9055229,-761.4457448,-395.7047719,-624.3939966,-583.7056195,-775.6335953,-1377.530293,-351.1713313,-928.2130936
43,-519.0011722,-304.1750159,-1452.741175,-664.8390441,-792.2149082,-440.4484358,-966.6521767,-830.9564425,-458.993231,-999.8084386,-581.3140578,-974.6307738,-658.4477808,-688.9371911,-672.3886747,-568.3639687,-612.2117053,-232.5543579,-635.1781903,-861.0474412,-968.1666358,-1316.523822,-914.2950766,-743.5285655
44,-930.5523838,-484.591699,-1317.865003,-789.2207515,-594.2196597,-334.6117679,-405.4571066,-861.6178752,-1007.192886,-927.5150129,-396.1773825,-725.5091899,-454.1284002,-599.400935,-671.8302704,-429.776093,-407.8667003,-539.2213665,-664.6370146,-902.970129,-785.414248,-1331.063365,-975.7777021,-1396.25792
45,-1138.570632,-467.0727251,-1249.103936,-697.3185301,-890.7962407,-598.6945931,-646.1879026,-759.2899472,-400.5301937,-553.6920375,-566.1696725,-785.4972795,-1069.541231,-830.4242088,-728.2424552,-398.3606102,-222.8470814,-589.7751284,-266.1309207,-717.1901331,-610.1349279,-988.4142084,-547.7871339,-1007.307324
46,-555.7941434,-620.9078019,-1382.286897,-652.5513067,-1003.093085,-467.9219571,-462.6184789,-779.4449098,-827.499215,-545.9532061,-580.3372717,-625.2990878,-587.444649,-849.1931543,-468.9390261,-521.4726249,-473.2159582,-718.3381696,-298.3658045,-551.8324374,-668.5406285,-431.8651798,-520.1381449,-969.2482542
47,-378.8290225,-434.7811104,-1358.025064,-513.5781473,-901.8475393,-680.085882,-569.3421622,-958.3860596,-940.0431807,-505.3331823,-526.2653426,-584.9972169,-1178.945326,-330.7975528,-456.2553395,-934.1112618,-621.5828103,-705.9746995,-564.3317785,-632.7477686,-1030.170825,-1040.670186,-505.909864,-983.1796656
