batch,3rcvdvj9 - Epoch-avg,14wxldb2 - Epoch-avg,1mr08dak - Epoch-avg,q4vinlo0 - Epoch-avg,oj8q7z76 - Epoch-avg,2sezzrdx - Epoch-avg,9nrq3cnl - Epoch-avg,1n5j2rax - Epoch-avg,ulz3jb12 - Epoch-avg,1coy3mr5 - Epoch-avg,rr54n2f4 - Epoch-avg,2jqw6lu4 - Epoch-avg,363f3lmc - Epoch-avg,14bzgdj7 - Epoch-avg,2olfyl92 - Epoch-avg,k8r8hfnx - Epoch-avg,cn09x2es - Epoch-avg,mdrxxfhv - Epoch-avg,1rr22ns1 - Epoch-avg,2ruvh68i - Epoch-avg,1scdq7h1 - Epoch-avg,1hmh5gtz - Epoch-avg,3eo79fbn - Epoch-avg,12oto9ps - Epoch-avg,1os5wnh5 - Epoch-avg,1ey84ffm - Epoch-avg,2hip33eh - Epoch-avg,t3m35g3g - Epoch-avg,37r342ur - Epoch-avg,24pbctuu - Epoch-avg
22,-1040.970974,-1064.428211,-1027.629087,-822.4782036,-1020.619625,-950.9165257,-1054.67834,-783.3375346,-1164.011229,-1223.346838,-1156.563442,-937.8594709,-987.559738,-804.6879103,-1196.29965,-1054.037223,-1066.413881,-1174.729855,-866.4383606,-958.0626032,-923.6968664,-941.0354791,-1084.930175,-987.9931261,-1052.428093,-946.3361459,-1160.185784,-985.9110992,-1048.946576,-1078.541523
23,-1045.765425,-1009.627662,-1152.655347,-973.5696783,-796.0739701,-879.1130549,-725.2832274,-792.3648497,-764.4969926,-1033.552376,-1046.621879,-1149.956569,-1029.872809,-818.0961289,-1086.454012,-960.207292,-867.334085,-788.5068326,-933.4028524,-1087.093437,-1052.920414,-1118.61634,-914.9589387,-998.2949983,-1078.24365,-944.2744785,-936.1738667,-1051.474707,-1002.623249,-1048.615536
24,-951.739046,-874.5652139,-1079.371313,-842.3335134,-870.6489385,-802.8561762,-870.4806433,-773.0427576,-758.4644618,-1005.120828,-867.6807022,-1149.467463,-799.1204819,-627.0977768,-783.0571078,-1094.071293,-957.4860539,-732.4146421,-924.5040248,-831.1350715,-1019.88684,-1226.903061,-1063.645499,-895.5686179,-955.0355316,-902.6079751,-837.958765,-843.474366,-970.1567988,-1044.777573
25,-886.6917482,-1033.908154,-920.7206,-754.584241,-745.7719515,-865.9184906,-746.1028296,-1003.883783,-975.5734282,-1007.692226,-821.7252529,-907.6642576,-964.1774439,-938.0988974,-871.6963497,-1016.485197,-846.8663013,-1028.92664,-744.0301904,-897.0661092,-1062.303815,-961.8924819,-731.1055028,-1058.73293,-1138.670035,-823.6535213,-945.9865413,-1064.334293,-953.9246922,-957.3214357
26,-885.8358943,-862.833908,-981.1466699,-756.2611092,-844.2756194,-764.1141395,-716.0985788,-705.1720729,-799.0881075,-1001.723386,-1030.445816,-931.8086595,-1053.270496,-990.8690333,-802.6003126,-1023.953402,-731.1691115,-787.7324077,-876.9832616,-754.6957807,-853.0611701,-915.8918985,-1055.095645,-958.092745,-1006.780309,-839.2867824,-1115.754649,-840.7373805,-1016.576013,-898.3046364
27,-823.7872755,-858.7394918,-962.5828017,-693.3159924,-936.1884419,-688.1294856,-837.4954155,-940.1234345,-572.8452454,-1079.444247,-863.1571734,-938.9904262,-797.2015186,-760.5304821,-702.700842,-767.266759,-807.9927366,-786.2777431,-954.2538792,-786.8892587,-838.7746286,-820.3618518,-752.5308561,-1053.137241,-886.9372825,-797.4699237,-1106.608182,-897.2765108,-844.7315064,-794.8783608
28,-745.2152399,-653.5198949,-792.9274866,-631.9166877,-632.280072,-663.597779,-883.4408,-973.9079925,-905.0338157,-939.5078798,-827.6088455,-987.5473364,-829.6038298,-759.6828541,-854.8394476,-993.5012818,-732.9045683,-905.2178049,-661.0865201,-730.6456446,-761.8479839,-848.7718054,-737.2669332,-685.3875621,-765.1024519,-812.4015004,-1077.228659,-588.7801617,-1117.308918,-773.4869262
29,-843.5469449,-731.9472869,-753.2805312,-815.8937291,-764.7023503,-691.4916729,-677.309665,-688.1842715,-565.4369808,-916.0002599,-667.1461932,-717.709449,-832.3824952,-739.0477239,-645.8714694,-728.9876715,-903.8228365,-758.5840946,-581.3317292,-971.3088607,-704.5153519,-831.5325059,-641.7893918,-666.6872565,-716.7744621,-1001.960432,-830.9183823,-612.3135532,-908.2810162,-725.8449034
30,-800.4010933,-826.6793382,-772.9886349,-729.1344883,-632.5161844,-725.9679302,-616.8200146,-849.176601,-640.6025323,-1098.155715,-839.3788014,-488.6237609,-780.3779336,-546.8247097,-516.0682708,-1091.253372,-876.264961,-831.4890137,-641.6347136,-1199.323996,-732.3036242,-798.6647486,-602.37133,-676.0196681,-865.4572287,-770.1431521,-675.6598617,-843.3722768,-824.9873941,-770.1897161
31,-955.6457239,-817.6153317,-900.3529423,-1053.820335,-692.0585034,-614.2628928,-864.6139111,-611.1688224,-657.5755718,-1058.650976,-710.0192297,-874.7418243,-596.3390518,-506.976518,-752.5303255,-1035.425414,-646.1052553,-785.3277032,-605.3489273,-454.3376559,-677.4411599,-815.4736588,-612.4632837,-544.0456185,-750.1630113,-670.5589634,-637.618205,-755.8218236,-870.032569,-1118.138649
32,-637.5079438,-622.6439987,-798.3032534,-710.7464438,-605.1811867,-624.8815598,-543.6800382,-915.3380395,-716.0180651,-772.9978633,-693.0544794,-617.8712817,-683.2699085,-717.5288472,-671.4062621,-778.8757407,-727.9809521,-761.1224082,-523.2218381,-804.7021251,-652.8704464,-749.4835667,-630.2149098,-625.018259,-1082.373415,-659.9015284,-649.804061,-310.9642252,-975.1401189,-614.8346301
33,-696.8381881,-621.4177397,-696.5100532,-504.8256141,-641.9343954,-578.9245445,-794.9608408,-504.2991535,-673.9088382,-777.8750694,-628.9176784,-696.1758446,-636.7567543,-890.3548966,-721.9191852,-651.2347467,-809.1278449,-975.5450934,-531.4120156,-621.2214511,-632.2659789,-626.3011656,-639.0160358,-833.1598724,-886.2778269,-719.1492651,-613.6307516,-485.7101871,-752.2981165,-599.8677919
34,-583.055754,-699.2561527,-483.5496899,-793.4284348,-411.3364859,-481.5187491,-629.9949603,-716.0834526,-718.6424375,-938.4420045,-782.7834211,-661.6302252,-725.9251316,-789.6811757,-1002.216175,-737.8934904,-738.6775237,-777.0719144,-769.1964037,-515.5706032,-610.8677709,-617.7887735,-714.6381285,-1001.33258,-785.0775509,-510.9859929,-644.2840343,-581.9974067,-845.7728336,-688.5045235
35,-813.7110207,-680.0427194,-391.3408386,-528.4054795,-362.707334,-364.4246164,-651.6620401,-598.4421709,-760.1949069,-712.6403036,-609.4174771,-580.4078866,-580.4967074,-701.3425649,-1032.181066,-739.3164234,-1129.111344,-878.1852647,-627.1294071,-558.9833669,-579.2296833,-692.8123597,-759.6380093,-633.5019373,-744.8855222,-688.42184,-728.2030517,-638.2396727,-516.499827,-741.1656818
36,-562.6157057,-895.2121708,-420.6001642,-785.0936246,-622.0950613,-693.5093848,-947.213657,-611.7000737,-559.4982155,-914.8507696,-951.9287328,-604.336894,-662.9465183,-576.1741187,-996.2029697,-660.4312857,-775.4061598,-598.6363619,-867.8280214,-608.5111688,-500.4236796,-586.4616299,-859.3141675,-568.0777163,-472.1100657,-431.839649,-1079.593199,-832.8322161,-738.7718683,-716.0253622
37,-696.1234208,-839.6391997,-422.0762565,-407.2193032,-620.5762707,-646.7099982,-820.1896488,-621.7057307,-724.8734094,-914.2131219,-841.4308732,-589.7494242,-641.559439,-615.7595178,-567.442292,-767.2174544,-969.88677,-681.3942768,-888.908187,-475.7769809,-536.1106326,-555.6468255,-601.1111394,-602.6835564,-478.9058537,-446.6582249,-630.7756692,-796.86625,-527.7423457,-825.351283
38,-569.5050245,-622.3402603,-658.5587564,-518.1443909,-461.4388087,-475.6448345,-666.5067157,-683.4959373,-606.321732,-743.6837546,-510.1901742,-570.4704705,-602.8290913,-756.7051141,-386.7228038,-1064.350135,-688.5944006,-1050.331836,-1000.842166,-456.3282276,-372.2147201,-656.3995451,-450.8492495,-563.0318855,-634.3024407,-293.2598684,-575.1070766,-437.5538415,-505.2286358,-748.881442
39,-495.7777559,-690.8397079,-544.1126206,-728.6003228,-775.3309429,-540.9991667,-524.8948938,-735.0310267,-538.7960395,-690.8953674,-401.2539221,-377.3414949,-391.5630192,-817.0253307,-464.1107544,-585.28948,-350.6174526,-665.5658365,-477.2808338,-838.3388048,-829.7248441,-235.8054594,-391.9569929,-717.0416826,-792.08519,-723.9728047,-536.4985303,-698.0912748,-594.4203524,-583.5603387
40,-569.9364324,-728.9385797,-226.2113977,-720.6411175,-605.9340069,-321.0915794,-543.4629765,-591.3370954,-589.3292685,-697.0353208,-494.2155275,-408.2209058,-542.0070204,-645.273383,-335.7450612,-776.9906651,-554.6514384,-654.931456,-492.6369863,-351.3439792,-445.4802683,-281.5711668,-577.3613382,-543.9289219,-839.2796514,-650.5201361,-524.743596,-623.0920507,-415.8830034,-464.7632733
41,-617.9902482,-803.624341,-356.4629544,-641.7528617,-628.8134205,-571.8723454,-724.9417505,-721.6203074,-727.6426989,-771.4800243,-839.9076981,-686.664924,-518.5669466,-461.9047089,-437.508901,-672.8905965,-629.480663,-380.8149799,-492.4344296,-436.9416727,-422.5088036,-427.7983473,-276.8046106,-499.79656,-645.9297571,-543.8227114,-384.6036345,-580.0679721,-679.3719444,-653.9861317
42,-571.0082055,-871.3835457,-215.0907472,-239.5786855,-622.1965504,-392.4238818,-616.9617099,-582.7843093,-565.4837981,-650.8817253,-401.9297813,-394.4437063,-375.3069253,-370.3096109,-449.577631,-446.4311152,-696.3926195,-690.8056246,-549.2038444,-777.3277152,-370.5984025,-504.625586,-255.9066764,-959.2757329,-673.17647,-459.2542692,-842.8935789,-523.4398154,-616.589707,-588.2569782
43,-1115.922476,-644.7112697,-736.2491639,-539.562346,-500.5166827,-486.1246081,-646.1824628,-649.0975792,-577.1419021,-968.8338413,-451.6770537,-472.328326,-648.7690129,-947.8114973,-756.797646,-493.4242739,-455.0514432,-580.1007624,-658.8165323,-662.414721,-309.7304314,-440.3258204,-326.4639075,-327.11022,-550.8022131,-327.4336382,-814.2893216,-270.9951947,-452.0186097,-393.6270178
44,-475.8079456,-574.3496904,-233.9594635,-389.1761929,-478.6886913,-564.0288957,-400.1482689,-342.2364185,-576.3477591,-886.226511,-580.2184418,-535.878669,-411.056978,-443.3031041,-498.2532052,-723.3068489,-446.813012,-619.226016,-626.6229235,-920.2366745,-262.5421714,-282.5862893,-647.8203745,-596.1112937,-712.1073515,-283.3859776,-534.4484959,-544.2419321,-552.4369696,-349.6601475
45,-453.7225548,-764.359706,-477.099654,-427.4194688,-901.9015178,-182.8913058,-228.1832894,-416.2020765,-422.3947849,-599.0923846,-531.7542421,-491.549798,-258.9150175,-432.8818659,-759.8701775,-777.6412783,-282.6554001,-507.6203557,-468.9054637,-546.0228482,-280.5411119,-523.9362381,-382.2023256,-578.1398072,-470.3003205,-414.1399947,-528.1467942,-539.7204972,-507.2617547,-619.904924
46,-299.0688201,-617.5561912,-711.4067461,-584.8529973,-730.6996898,-269.6305601,-778.0885635,-507.0730164,-583.6986556,-781.84693,-341.1938614,-463.9384745,-599.93615,-406.2301301,-811.1772872,-657.1593973,-957.7597707,-477.5361316,-552.084198,-447.3337135,-529.2800218,-478.4167496,-213.8762686,-677.3628577,-607.0359004,-485.9884878,-576.5849553,-588.7795732,-484.7298259,-496.2173419
47,-397.3953223,-762.293736,-198.7396241,-258.7080083,-599.1852908,-195.1452539,-521.1679105,-522.145368,-920.6078296,-685.0768965,-345.4345719,-568.9300505,-467.2248988,-431.5912788,-508.0223069,-895.2842935,-642.1463586,-883.4120484,-539.7662701,-360.9835336,-455.1821568,-248.3051172,-253.1140452,-642.6800878,-438.3824904,-542.0821596,-689.5164143,-522.5448223,-428.0641224,-276.3421023
48,-488.8839796,-831.9477215,-210.1202905,-432.7194331,-493.0438574,-451.7205492,-665.121291,-624.6699057,-626.7154054,-418.4577278,-904.3309981,-525.6371549,-160.3968995,-405.8342752,-447.1629625,-417.7391248,-486.0335455,-277.5660727,-423.8783124,-505.1472676,-585.4005101,-434.2984406,-609.532344,-519.9337731,-443.0815778,-245.3899284,-399.6208554,-821.2646831,-202.767275,-267.6093329
49,-359.6899449,-656.0591472,-268.5368951,-555.2096527,-530.6293426,-1040.262595,-755.6085915,-422.0994305,-409.2627071,-397.9555284,-472.9088817,-492.2825375,-183.0126042,-428.4557971,-392.7144121,-276.7611359,-548.6350466,-728.3296634,-206.6418404,-277.1198361,-594.6261379,-196.0304053,-978.6355316,-179.3163717,-773.5492756,-418.9423535,-475.5432005,-516.7648034,-632.9008204,-289.4522167
50,-745.8431837,-666.9245584,-333.4760173,-464.7697802,-244.1375469,-526.9347487,-636.4702907,-252.5665205,-304.3632377,-580.5960094,-365.0831547,-603.744212,-286.5883683,-282.1534443,-479.2453343,-523.8482489,-442.1153448,-734.6338111,-257.8847688,-494.7825446,-515.1945026,-212.9460175,-232.8076271,-211.556737,-260.0291648,-332.8581288,-345.2956755,-495.5194917,-370.756664,-237.5080106
51,-293.7317481,-526.8127607,-600.203558,-178.6905931,-329.8989573,-730.1608485,-515.9272526,-267.8586375,-682.875862,-242.117063,-373.4971675,-963.8790017,-251.1952196,-377.7005807,-484.5342724,-660.3067219,-234.9525591,-546.0062747,-244.5087785,-452.5198821,-578.4988367,-233.4879117,-377.0571017,-229.8869422,-492.070535,-594.0145108,-481.4385086,-269.1460712,-268.3698286,-257.0324089
52,-546.0655989,-548.1001952,-240.6837193,-191.225543,-480.6475799,-498.0620389,-834.7039813,-263.8896488,-753.3170007,-275.9056407,-246.0158793,-539.6318646,-163.6266752,-234.1735293,-563.3724417,-514.2430492,-135.8649771,-614.3384916,-307.1404598,-389.8863904,-949.0344449,-218.2134756,-277.2596955,-522.6577486,-495.4724636,-702.8670746,-887.1952227,-711.0429775,-302.2497792,-226.8681258
53,-282.3383395,-877.472325,-235.5847505,-286.4447342,-230.979711,-635.4074259,-653.4220567,-447.4097083,-477.6653881,-491.9464421,-293.6908618,-744.2042008,-207.7911283,-436.3931033,-860.9773585,-515.6612014,-273.3123284,-762.7094563,-319.6855126,-357.0348704,-519.25351,-396.3243243,-553.2351604,-347.786087,-397.6012576,-498.3058753,-886.4189029,-186.3234053,-256.0326211,-240.2999117
54,-731.8813974,-967.1960863,-290.8817581,-244.4911093,-200.8052407,-518.1732917,-548.9139929,-502.9290405,-690.4477767,-507.212973,-380.3741348,-529.4935695,-191.4977123,-230.2259215,-848.1660156,-585.0175893,-431.618986,-440.0943351,-313.3228436,-367.3830695,-500.3914039,-265.5631263,-619.3583211,-282.1681266,-347.8201207,-564.7405895,-913.7335297,-220.194219,-274.4599168,-546.7531048
