batch,1bywtyit - Epoch-avg,vu34gyi1 - Epoch-avg,35ewr2m4 - Epoch-avg,138weaxs - Epoch-avg,1zt6hb43 - Epoch-avg,22z8shhy - Epoch-avg,2zxkst26 - Epoch-avg,2ryzif8c - Epoch-avg,36blf63y - Epoch-avg,8wyktzlh - Epoch-avg,1s7nfp0b - Epoch-avg,15nku9xl - Epoch-avg,1u1xoo37 - Epoch-avg,1s7ld0pu - Epoch-avg,2k1oz4dz - Epoch-avg,6ncyjzmb - Epoch-avg,348b2r32 - Epoch-avg,3mqhpm00 - Epoch-avg,1ipa2ne1 - Epoch-avg,qbgaumvc - Epoch-avg,3ip2ef46 - Epoch-avg,32c0cvvg - Epoch-avg,3jnbgfe3 - Epoch-avg,2k2z0ni1 - Epoch-avg,2chs2lzc - Epoch-avg,2eli0yzn - Epoch-avg
33,-799.897937,-650.2108711,-556.6137014,-526.3981181,-742.6285925,-547.6636867,-696.9028033,-541.8422143,-663.4741756,-660.7576111,-718.4177606,-680.7261236,-798.6519858,-280.8556099,-662.0026685,-536.5701101,-313.7628689,-539.1082298,-556.4636347,-522.8241632,-500.2155698,-486.7944935,-403.4472865,-639.0784039,-662.7443914,-510.9035103
34,-722.6791957,-483.8621452,-591.6110547,-517.4663471,-738.7310041,-488.7209428,-815.2792814,-461.6191295,-596.3473989,-624.2105716,-943.6287188,-601.2237232,-748.6637748,-571.4620098,-623.8538682,-429.5880775,-333.596712,-807.0406463,-545.0370788,-470.2426243,-549.9588104,-534.3553637,-916.5506081,-527.2230097,-508.8567919,-658.3805454
35,-649.2545832,-793.6814517,-609.918511,-592.1034061,-584.0790688,-490.912807,-685.8881115,-500.2632142,-495.4783964,-461.8387247,-694.1802332,-609.9737628,-932.9502357,-595.0522177,-407.2996254,-501.5268652,-328.5471503,-874.6477343,-488.6557941,-595.7741987,-444.396721,-428.9919228,-500.0186379,-674.1295958,-850.5641814,-569.5578088
36,-634.477799,-505.0296383,-725.4219997,-906.4049964,-464.5256498,-553.3880392,-448.7915689,-461.8963336,-436.786981,-559.4052666,-594.2842603,-475.6797139,-557.5801332,-398.4235326,-447.4555209,-453.7058899,-254.0608839,-538.114481,-666.3029168,-399.267502,-291.6128047,-544.9764408,-329.2424266,-651.5896595,-467.9776339,-420.4216936
37,-539.1114954,-632.372256,-800.3788253,-380.4821599,-745.4861678,-603.6555126,-503.146055,-599.4839166,-421.9387693,-536.5526861,-339.1008312,-578.0472574,-576.8972085,-262.2870862,-382.9282407,-425.734586,-401.6406184,-576.6679533,-664.8560104,-346.5071053,-650.8204301,-484.2783254,-412.2265573,-479.9772512,-879.5584612,-947.5961141
38,-369.5872024,-487.5093616,-823.1641475,-375.2850891,-476.1689317,-635.7699416,-340.5878662,-902.2038606,-251.50089,-505.1571853,-280.9950468,-489.1073612,-645.4057884,-499.8963267,-362.4778605,-664.2976375,-596.0837027,-414.0859983,-754.7068616,-533.8889378,-464.5512203,-586.7508401,-209.8800376,-980.7096431,-748.871472,-632.721246
39,-467.2393691,-851.6491942,-587.6923534,-223.3840836,-398.5177906,-857.2332158,-455.664416,-670.240926,-425.0204989,-310.6611485,-389.8955045,-514.2365225,-432.0449976,-672.0862069,-656.7733414,-406.3360473,-322.2421673,-486.8377856,-524.5790081,-378.1477882,-397.0158156,-405.772561,-193.4474392,-450.0527999,-462.1948922,-384.2673727
40,-569.4888818,-457.1381283,-451.0315992,-496.2306012,-387.7563978,-594.7151373,-294.6838987,-587.5887017,-340.3495459,-606.8469562,-199.5098426,-483.0193904,-964.3700136,-417.6595277,-397.4850566,-313.6289934,-128.1893534,-526.3166686,-496.2181314,-486.8213805,-275.1882658,-345.2113119,-528.5716745,-341.0390347,-469.4134468,-248.1205649
41,-424.0685396,-436.8792329,-224.4327858,-466.0838237,-454.991427,-260.6034474,-330.4034056,-800.0826471,-647.1854809,-161.2659657,-220.2967096,-391.2979892,-579.0680086,-411.5915683,-509.1024825,-237.6858343,-216.2565306,-248.6471221,-515.5010707,-244.2877016,-362.0956758,-541.5999905,-468.6457325,-446.2212746,-894.442489,-361.3198485
42,-410.5403509,-552.1349866,-964.903904,-275.3731669,-270.9202218,-407.3707065,-469.7481099,-610.7558761,-171.5369973,-268.2474082,-338.6786703,-357.5707374,-533.0375869,-325.3981769,-562.6058019,-228.0598906,-531.5856443,-461.3477703,-547.541129,-372.0691023,-453.0620727,-212.3725146,-350.7285204,-517.3349911,-463.440899,-353.944408
43,-397.3283553,-289.7379027,-428.8478947,-230.9787732,-471.422867,-388.4453357,-563.4123311,-594.8762454,-187.7955402,-296.6252763,-447.7858813,-351.5138695,-606.0422803,-244.4319211,-573.0282308,-245.5808851,-432.3211403,-271.9472441,-419.2826904,-419.4365156,-563.0372546,-447.244934,-485.2239944,-368.0304337,-635.9686299,-271.6030246
44,-532.3821031,-399.1798277,-237.4319198,-315.6913411,-430.5933618,-376.5133058,-249.7626626,-531.4296797,-252.373942,-314.4287551,-213.3870952,-308.064013,-196.8379254,-867.4162948,-251.2912061,-328.1846362,-316.4458331,-352.4936049,-387.076938,-681.2864194,-469.3390141,-502.3208546,-215.8845551,-320.2494382,-385.0073788,-248.4435485
45,-337.0457161,-454.902568,-257.6791768,-358.6010216,-295.798794,-364.8343613,-198.3748966,-570.7658025,-226.7281229,-255.3841905,-349.2651354,-371.9740523,-315.4308258,-308.7141825,-562.0254492,-319.8757248,-287.6374243,-501.6490941,-687.9619847,-475.6969729,-413.2402999,-372.2018007,-542.0327029,-363.16655,-603.0569777,-319.7847721
46,-438.4707653,-311.7295296,-385.0635825,-229.6773425,-358.4313009,-270.2777456,-370.7608643,-692.6539099,-256.6191385,-175.1880488,-323.5520564,-388.0040015,-259.0132172,-343.8845179,-487.3737806,-301.1170151,-336.7291696,-674.9817256,-303.788662,-383.9997641,-380.6725943,-413.5022143,-531.1021889,-269.7822551,-637.6719084,-240.5226269
47,-404.0890986,-404.4174631,-254.0868727,-227.259004,-264.027432,-275.734818,-567.3576315,-294.2572562,-201.5315981,-258.0208347,-258.7762502,-458.4338321,-466.8926411,-247.3009548,-492.668586,-265.9196255,-319.9591312,-894.0402237,-254.36465,-334.5603258,-258.548282,-355.8319672,-401.2362228,-336.2809816,-484.0219293,-233.9704107
48,-338.0610034,-642.3950951,-615.9488255,-212.7718788,-287.4972173,-325.2808551,-359.8242475,-760.608004,-200.9455023,-208.4092705,-492.2838298,-381.3293183,-488.2081724,-412.4293316,-224.5912725,-318.4513932,-162.1133895,-470.8801864,-323.6670736,-276.4534895,-244.7994235,-206.9763533,-348.388038,-498.2130435,-429.5389776,-416.8701167
49,-406.098839,-279.3584291,-251.9252678,-222.2899098,-655.5353776,-325.6002309,-172.3838024,-435.2605018,-548.0346727,-197.5900512,-573.4278519,-270.5395814,-410.0658761,-362.0906208,-316.2977285,-424.4591648,-371.3800145,-580.2432345,-434.7385617,-194.3439928,-180.1971681,-196.1374554,-236.1675079,-353.8518955,-320.6057137,-228.8541214
50,-436.9493555,-278.648651,-254.2039649,-326.0168713,-239.8837326,-519.7338093,-695.2310982,-746.4771858,-544.4568097,-189.129673,-280.141191,-351.2959482,-434.9291892,-365.9478554,-189.3944519,-242.3029951,-255.2553886,-474.0522491,-471.5110794,-116.8753283,-258.0482451,-227.754697,-443.0905668,-281.4084745,-372.7562333,-251.0665834
51,-205.1575988,-146.9702961,-252.7883208,-227.1125794,-391.8666713,-357.5726452,-494.2174574,-561.5395706,-622.809468,-268.4801515,-356.4851307,-603.2172868,-320.077113,-332.1873431,-221.8670382,-145.7253274,-301.5193885,-571.3410974,-449.1022722,-189.947464,-241.4899006,-283.5101065,-206.7637722,-242.6349431,-522.0953965,-431.0451779
52,-241.8595384,-383.918042,-263.3746949,-209.7531492,-285.431131,-237.6080212,-326.0539433,-292.2224661,-666.3451942,-242.2822551,-477.6632668,-272.3390009,-738.2400471,-415.9215275,-230.1640493,-375.8177654,-283.6409993,-563.4778043,-322.6778867,-328.2623976,-413.6794691,-296.3907242,-289.1200859,-347.5976527,-440.8416263,-528.8777332
53,-471.9229214,-180.3376315,-174.7272936,-423.6419725,-405.7781597,-491.5929807,-441.4349291,-499.8854,-345.1693769,-271.7879718,-533.285702,-410.2567095,-227.8610773,-348.5109607,-451.3156228,-227.6017092,-171.7036456,-419.2173313,-194.5290148,-320.8526623,-226.2797695,-290.1645323,-224.5963255,-322.5537123,-312.1338378,-323.4625045
54,-242.7704479,-365.2911639,-379.9322588,-479.8688176,-206.354375,-328.68548,-435.7225659,-374.8325764,-242.8162418,-215.3587373,-434.6773706,-307.5120345,-162.2141836,-238.9888908,-416.1132546,-222.5008325,-261.0958522,-135.2921308,-357.5053005,-416.828604,-403.1587416,-466.6704222,-210.4072738,-241.021585,-424.2339693,-310.6136106
55,-310.5250083,-388.3825168,-251.1508491,-323.3645122,-387.3784531,-606.905445,-321.7054866,-956.8052816,-302.4580198,-301.7474304,-449.2547202,-276.1247066,-255.2252135,-215.9039133,-257.8067902,-276.5463174,-318.233346,-442.4377613,-245.8702797,-504.7761618,-434.2652672,-469.2719138,-233.926289,-228.6273445,-251.0129177,-524.1961967
56,-288.3589014,-246.6494185,-271.6499465,-373.8814842,-298.1140047,-484.1546339,-363.9526937,-859.5800839,-375.9462102,-425.6435967,-423.4642475,-350.6088883,-238.6554596,-267.1709233,-224.7453923,-235.0794099,-174.1320834,-603.0404092,-293.7821965,-293.5260322,-287.7719057,-588.9956748,-248.8083429,-300.4593153,-272.5206794,-355.577974
57,-283.3346635,-267.8173716,-230.507521,-129.9087526,-893.6978458,-404.8159893,-284.5189787,-621.0850955,-450.7053008,-389.0444829,-395.5300113,-246.2424801,-132.6033904,-339.9404233,-275.0106174,-127.0601872,-268.8257511,-533.0202695,-291.4745658,-194.3532711,-441.8858848,-825.2625365,-483.2598401,-348.1756253,-276.5020107,-475.5729143
58,-384.2723019,-351.274373,-257.126301,-223.3674907,-392.2890318,-390.3703526,-306.3174665,-428.3368006,-407.9597286,-406.1821886,-428.28941,-302.1432808,-382.9285695,-222.4212702,-259.7424801,-209.0501551,-203.4885091,-496.6093802,-286.2701682,-452.5778147,-262.5874028,-571.9855905,-286.6065139,-224.8298774,-594.7669941,-332.8181233
